system_equipment,equipment_description,equipment_code,equipment_level,parent_code,parent_level,type_travail,action_entity,date_declaration,date_fin,date_creation,cout_total,source
B7214T0007,SOUFFLEUSE SBO 20 SIDEL,B7214T0007-RS,2,B7214T0007,1.0,CORR,LLK,2023-01-16,2023-04-08,2023-01-16,6120.62395739731,2023_CORRECTIF
B7214T0010,SOUFFLEUSE SBO 20 SIDEL,B7214T0010,1,,,CORR,LLK,2023-01-16,2023-04-08,2023-01-17,1648.5,2023_CORRECTIF
B7216T0012,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN,B7216T0012-BOUCHE-BU,3,B7216T0012-BOUCHEUSE,2.0,CORR,LLK,2023-01-16,,2023-01-16,0.0,2023_CORRECTIF
B7216T0012,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN,B7216T0012-BOUCHE-BU,3,B7216T0012-BOUCHEUSE,2.0,CORR,LLK,2023-01-16,2023-04-08,2023-01-24,1728.0,2023_CORRECTIF
B7216T0013,REMPLISSEUSE Combi SF SELECT BV 140/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN,B7216T0013,1,,,CORR,LLK,2023-01-16,2023-04-08,2023-01-24,1008.0,2023_CORRECTIF
B7220T8001,MONOBLOC,B7220T8001,1,,,CORR,ELKS_UAP1,2023-01-16,2023-06-01,2023-01-16,1001.08668455,2023_CORRECTIF
B7252T8003,ETIQUETEUSE DE BOUTEILLES  25 CL,B7252T8003,1,,,CORR,ELKS_UAP1,2023-01-16,2023-06-01,2023-01-16,738.53611125,2023_CORRECTIF
B7272T0015,FARDELEUSE TSM 4 SDI CERMEX-OC,B7272T0015-TRFILM,2,B7272T0015,1.0,CORR,LLK,2023-01-16,,2023-01-16,0.0,2023_CORRECTIF
B7284T0027,PALETTISEUR P432-SCARA (P432-20) CERMEX,B7284T0027-PALPRO-TA,3,B7284T0027-PALPRO,2.0,CORR,LLK,2023-01-16,2023-04-08,2023-01-16,76.33333333333333,2023_CORRECTIF
B7759T8004,CONVOYEURS,B7759T8004,1,,,CORR,ELKS_UAP1,2023-01-16,2023-06-01,2023-01-16,500.543342275,2023_CORRECTIF
B7759T8004,CONVOYEURS,B7759T8004-J05,3,B7759T8004-J11,2.0,CORR,ELKS_UAP1,2023-01-16,2023-06-01,2023-01-16,422.020635,2023_CORRECTIF
B9305T0001,BATIMENT,B9305T0001-ECLAIR,2,B9305T0001,1.0,CORR,LLK,2023-01-16,2023-04-08,2023-01-16,185139.00848323124,2023_CORRECTIF
SYS-FRP,Système Refroidissement Palette,UPL-B8638T-001,1,SYS-FRP,1.0,CORR,UPL_B2,2023-01-16,,2023-01-16,12738.14255168208,2023_CORRECTIF
B7214T0007,SOUFFLEUSE SBO 20 SIDEL,B7214T0007-RS-PS-18,4,B7214T0007-RS-PS,3.0,CORR,LLK,2023-01-17,2023-04-08,2023-01-17,0.0,2023_CORRECTIF
