EREQ_CODE,EREQ_DESCRIPTION,EREQ_LEVEL,EREQ_PARENT_EQUIPMENT,EREQ_SYSTEM_EQUIPMENT,EREQ_CREATION_DATE,EREQ_EQUIPMENT_STATUS,EREQ_CATEGORY,EREQ_ENTITY,EREQ_ZONE,EREQ_COSTCENTRE
BMA11-VANMAN-10,VANNE MANUELLE,3,B6325R0001-110,B6325T0001,2009-02-04,,B3360,BMA,BMA-A11,CGS-D-MARG
B7716R0007-100,MONTE CHARGES 1,2,B7716T0007,B7716T0007,2009-02-04,,B7716,BMA,BMA-19,CGS-D-MARG
B4313R0020-417,MOTEUR A DEUX VITESSES,2,B7716T0008,B7716T0008,2009-02-04,,B4313,BMA,BMA-19,CGS-D-MARG
B6325R0003-117,CAPTEURS ET DETECTEURS,3,B6325R0003-123,B6325T0003,2009-02-04,,B4514,BMA,BMA-A13,CGS-D-MARG
B20M4V9,ELECTROVANNE SORTIE B20M4 VERS B20S2,3,B6301R9999-07,B6301T0007,2009-06-23,NORMAL,B4727,BRH,BRH-B20,HUILE-D-RAFH
B4313R0024-A007,MOTEUR ELECTRIQUE,2,B6305T0016,B6305T0016,2012-08-01,NORMAL,B3503,BS1,BS1-CRST8,SUCRE-D-RAFS
B3503R0400-A007,REDUCTEUR,2,B6305T0016,B6305T0016,2012-08-01,NORMAL,B3503,BS1,BS1-CRST8,SUCRE-D-RAFS
B4688R5704-A023,VANNE TOR SOUPAPE VIDE  XV898,2,B4688R2000-A016,B4688R2000-A016,2012-08-01,NORMAL,B4602,BS1,BS1-ACC8,SUCRE-D-RAFS
B4688R0004-A026,VANNE TOR DE RECIRCULATION DE MAGMA B XV870,2,B4688R2000-A016,B4688R2000-A016,2012-08-01,NORMAL,B4602,BS1,BS1-ACC8,SUCRE-D-RAFS
B4688R0001-A025,VANNE TOR DE RECIRCULATION DE EPA XV882,2,B4688R2000-A016,B4688R2000-A016,2012-08-01,NORMAL,B4602,BS1,BS1-ACC8,SUCRE-D-RAFS
B4688R5700-A005,VANNE TOR DE RECIRCULATION DE ERA XV880,2,B4688R2000-A016,B4688R2000-A016,2012-08-01,NORMAL,B4602,BS1,BS1-ACC8,SUCRE-D-RAFS
B4688R5703-A044,VANNE TOR DE RECIRCULATION DE MAGMA C XV875,2,B4688R2000-A016,B4688R2000-A016,2012-08-01,NORMAL,B4602,BS1,BS1-ACC8,SUCRE-D-RAFS
